,itemLabel,coordinate_location,countryLabel,temperature,vertical_depth,elevation_above_sea_level,length
0,Q100269443,Point(8.28495 52.1166),Alemanha,,,,
1,Q100757214,Point(8.240099 49.565309),Alemanha,,,,
2,Q1009597,Point(7.66472222 51.3675),Alemanha,,,,
3,Q101579973,Point(2.66501 48.40216),França,,,115.0,31.0
4,Q102178845,Point(22.22841 44.46235),Sérvia,,,,
5,Q102398508,Point(55.620985 -21.383124),França,,,,
6,Q10294626,Point(16.728433333 49.290248333),Chéquia,,,,
7,Q104628734,Point(25.7575 48.772777777),Ucrânia,,,,
8,Q104628978,Point(25.886427777 48.597205555),Ucrânia,,,,
9,Q104874955,Point(15.158189 50.598958),Chéquia,,,,
10,Q105054041,Point(35.3287 31.99322),Israel,,,,168.0
11,Q105178587,Point(12.41734721 47.38506274),Áustria,,,,
12,Q105200080,Point(9.23449 49.48357),Alemanha,,,,
13,Q105200097,Point(9.240731 49.324719),Alemanha,,,,
14,Q105213866,Point(9.292535 49.619694),Alemanha,,,,
15,Q105320988,Point(9.4926541 49.5779227),Alemanha,,,,
16,Q10541373,Point(12.50110833 56.29626944),Suécia,,,,
17,Q105532514,Point(1.993128 44.559942),França,,,,
18,Q105744531,Point(9.448716 49.56675),Alemanha,,,,
19,Q105746804,Point(9.288453 49.592049),Alemanha,,,,
20,Q106091455,Point(0.632218 43.230039),França,,,,
21,Q106200200,Point(18.404589 39.963524),Itália,,,,
22,Q106201679,Point(18.435213 40.268778),Itália,,,,
23,Q106201874,Point(18.339847 39.795495),Itália,,,,
24,Q106203205,Point(18.386153 39.84426),Itália,,,,
25,Q106203534,Point(18.376133 39.800016),Itália,,,,
26,Q106204049,Point(18.330747 39.800848),Itália,,,,
27,Q106205026,Point(18.445868 40.254943),Itália,,,,
28,Q106223935,Point(56.1 53.966666666),Rússia,,,,11.0
29,Q106223935,Point(56.1 53.966666666),Rússia,,,,10.0
30,Q106280249,Point(122.6596 -4.89819),Indonésia,,,,
31,Q106305069,Point(18.378225 39.806593),Itália,,,,
32,Q106305175,Point(18.380339 39.807122),Itália,,,,
33,Q106315797,Point(15.596057846 45.995261446),Eslovénia,,,,
34,Q106405747,Point(14.3571883 50.8213072),Chéquia,,,,
35,Q106485068,Point(1.733333 44.066667),França,,,,
36,Q106531657,Point(-20.189915609 64.839649792),Islândia,,,,
37,Q106696229,Point(-0.299630682 39.021000624),Espanha,,,,
38,Q106702243,Point(-65.811527777 -18.114472222),Bolívia,,,,
39,Q106704932,Point(47.272222 26.436111),Arábia Saudita,,,,
40,Q106772546,Point(42.788888888 23.006944444),Arábia Saudita,,,,
41,Q106870252,Point(47.318055555 26.479444444),Arábia Saudita,,,,
42,Q106870610,Point(47.353333333 26.725833333),Arábia Saudita,,,,
43,Q106886403,Point(47.175 26.558333333),Arábia Saudita,,,,
44,Q106887085,Point(53.765916666 16.874916666),Omã,,,,
45,Q107161704,Point(14.456587 50.9989),Chéquia,,,,
46,Q1072696,Point(7.51967 46.6794),Suíça,,,,
47,Q107287290,Point(-5.23885902 36.740646598),Espanha,,,,
48,Q107352746,Point(-1.535725593 47.123778896),França,,,,
49,Q107659233,Point(4.713531021 50.009324781),França,,,,
50,Q107723805,Point(19.329444444 50.677777777),Polónia,,,,25.0
51,Q107723867,Point(19.33 50.677777777),Polónia,,,,8.0
52,Q107742873,Point(19.4175 50.693055555),Polónia,,,,8.0
53,Q108046952,Point(5.402306 43.833956),França,,,430.0,50.0
54,Q108133615,Point(14.213524601 42.224982571),Itália,,,,
55,Q108380224,Point(13.3031 41.4035),Itália,,,,
56,Q108404214,Point(14.499081542 40.653914841),Itália,,,,
57,Q108404608,Point(-1.43073449 42.92236421),Espanha,,,,
58,Q108524589,Point(17.3709569 49.6822519),Chéquia,,,,
59,Q108783841,Point(8.0496 48.5805),Alemanha,,,,
60,Q108795471,Point(20.280333 49.237167),Eslováquia,,18.0,,50.0
61,Q108857713,Point(100.9596 12.538),Tailândia,,,,
62,Q108872201,Point(23.9375 42.283333333),Bulgária,,8.0,675.0,102.0
63,Q108920977,Point(0.654845 43.230759),França,,,,
64,Q109038432,Point(1.645 42.810833333),França,,,,
65,Q109038436,Point(-0.447777777 43.096111111),França,,,,
66,Q109038440,Point(0.343333333 46.158055555),França,,,,
67,Q109038441,Point(4.812777777 50.223055555),Bélgica,,,,
68,Q109066841,Point(18.086765 49.229886),Chéquia,,,,
69,Q109279756,Point(-1.832914699 41.21080541),Espanha,,,,
